event_id,instance_id,detected_at,if_score,lstm_error,ensemble_score,severity,alert_sent,notes
74,my-windows-pc,2026-05-09 19:35:48.595158+05:30,0.1284,1,0.6514,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:05:48.499091+00:00
75,my-windows-pc,2026-05-09 19:36:19.284738+05:30,0.2579,1,0.7032,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:06:19.199405+00:00
76,my-windows-pc,2026-05-09 19:36:49.917347+05:30,0.3407,1,0.7363,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:06:49.824458+00:00
77,my-windows-pc,2026-05-09 19:37:20.53222+05:30,0.1822,1,0.6729,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:07:20.438330+00:00
78,my-windows-pc,2026-05-09 19:37:51.169679+05:30,0.127,1,0.6508,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:07:51.064214+00:00
79,my-windows-pc,2026-05-09 19:38:21.80611+05:30,0.1427,1,0.6571,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:08:21.713731+00:00
80,my-windows-pc,2026-05-09 19:38:52.503845+05:30,0.1944,1,0.6777,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:08:52.305160+00:00
81,my-windows-pc,2026-05-09 19:39:23.129107+05:30,0.1994,1,0.6797,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:09:23.021800+00:00
82,my-windows-pc,2026-05-09 19:39:53.716388+05:30,0.2522,1,0.7009,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:09:53.611155+00:00
83,my-windows-pc,2026-05-09 19:40:24.325573+05:30,0.2036,1,0.6814,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:10:24.230798+00:00
84,my-windows-pc,2026-05-09 19:40:54.924415+05:30,0.2701,1,0.708,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:10:54.819214+00:00
85,my-windows-pc,2026-05-09 19:41:25.528086+05:30,0.2216,1,0.6886,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:11:25.435582+00:00
86,my-windows-pc,2026-05-09 19:41:56.099813+05:30,0.285,1,0.714,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:11:56.017558+00:00
87,my-windows-pc,2026-05-09 19:42:26.608651+05:30,0.1714,1,0.6685,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:12:26.525953+00:00
88,my-windows-pc,2026-05-09 19:42:57.324156+05:30,0.2833,1,0.7133,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:12:57.228035+00:00
89,my-windows-pc,2026-05-09 19:43:27.928406+05:30,0.1744,1,0.6698,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:13:27.831620+00:00
90,my-windows-pc,2026-05-09 19:43:58.521568+05:30,0.3117,1,0.7247,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:13:58.421550+00:00
91,my-windows-pc,2026-05-09 19:44:29.218205+05:30,0.2677,1,0.7071,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:14:29.125182+00:00
92,my-windows-pc,2026-05-09 19:44:59.819911+05:30,0.3541,1,0.7416,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:14:59.726079+00:00
93,my-windows-pc,2026-05-09 19:45:30.4098+05:30,0.3252,1,0.7301,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:15:30.314522+00:00
94,my-windows-pc,2026-05-09 19:46:01.038271+05:30,0.2065,1,0.6826,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:16:00.925532+00:00
95,my-windows-pc,2026-05-09 19:46:31.635975+05:30,0.3652,1,0.7461,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:16:31.532151+00:00
96,my-windows-pc,2026-05-09 19:47:02.237435+05:30,0.2935,1,0.7174,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:17:02.138198+00:00
97,my-windows-pc,2026-05-09 19:47:32.86349+05:30,0.2002,1,0.6801,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:17:32.757075+00:00
98,my-windows-pc,2026-05-09 19:48:03.438929+05:30,0.272,1,0.7088,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:18:03.336935+00:00
99,my-windows-pc,2026-05-09 19:48:34.958233+05:30,0.1999,1,0.6799,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:18:34.855226+00:00
100,my-windows-pc,2026-05-09 19:49:05.57577+05:30,0.1642,1,0.6657,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T14:19:05.484806+00:00
101,my-windows-pc,2026-05-09 22:46:45.602533+05:30,0.5632,1,0.8253,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:16:45.448765+00:00
102,my-windows-pc,2026-05-09 22:47:16.40401+05:30,0.5847,1,0.8339,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:17:16.307811+00:00
103,my-windows-pc,2026-05-09 22:47:47.182591+05:30,0.2931,1,0.7172,LOW,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:17:47.025233+00:00
104,my-windows-pc,2026-05-09 22:48:17.957405+05:30,0.4445,1,0.7778,MEDIUM,f,Auto-detected by CloudSentinel ensemble at 2026-05-09T17:18:17.841978+00:00
