metric_id,instance_id,timestamp,cpu_percent,mem_percent,disk_read_mb,disk_write_mb,net_recv_kb,net_sent_kb
149,my-windows-pc,2026-05-09 17:16:25.683326+05:30,34.5,79.7,8.5769,0.373,3.568,1.3638
150,my-windows-pc,2026-05-09 17:16:55.813602+05:30,21,80.2,1.0839,0.3973,0.0859,0.1658
151,my-windows-pc,2026-05-09 17:17:26.038328+05:30,19.3,80.8,2.0359,0.4521,0.8991,0.4357
152,my-windows-pc,2026-05-09 17:17:56.160155+05:30,48.4,78.3,4.3949,6.3067,2.3302,1.0851
153,my-windows-pc,2026-05-09 17:18:26.286027+05:30,27.6,78.6,0.4941,0.6945,1.3446,0.1977
154,my-windows-pc,2026-05-09 17:18:56.426238+05:30,30.3,78.3,0.1127,0.7418,0.1457,0.3971
155,my-windows-pc,2026-05-09 17:19:26.561204+05:30,33.4,81.1,2.0277,0.4011,3.4805,1.991
156,my-windows-pc,2026-05-09 17:19:56.713055+05:30,59.8,83.6,2.9781,0.8844,9.2868,1.9526
157,my-windows-pc,2026-05-09 17:20:26.842147+05:30,28.6,83.2,1.4621,0.445,1.6538,0.3371
158,my-windows-pc,2026-05-09 17:20:56.974334+05:30,32.1,81.8,0.7271,1.6999,0.4399,0.5142
159,my-windows-pc,2026-05-09 17:21:27.179933+05:30,35,87.3,0.4283,0.9591,1.8228,1.291
160,my-windows-pc,2026-05-09 17:21:57.381697+05:30,38.9,83.1,0.1991,1.7836,0.1525,0.2201
161,my-windows-pc,2026-05-09 17:22:27.578994+05:30,27.7,81.3,0.2041,1.0327,0.0373,0.0558
162,my-windows-pc,2026-05-09 17:22:57.969921+05:30,25.9,80.5,0.0619,1.8143,0.0878,0.1358
163,my-windows-pc,2026-05-09 17:23:28.099916+05:30,32.2,78.4,0.0425,0.3714,0.06,0.1577
164,my-windows-pc,2026-05-09 17:23:58.227336+05:30,26.2,79,0.0204,0.391,0.5771,0.2059
165,my-windows-pc,2026-05-09 17:24:28.359052+05:30,30.3,77.5,0.0462,0.3691,0.8833,0.4277
166,my-windows-pc,2026-05-09 17:24:58.480515+05:30,27.5,79.2,0.1489,0.446,2.8642,0.4153
167,my-windows-pc,2026-05-09 17:25:28.603865+05:30,30.5,78.6,0.5747,0.3655,0.037,0.0529
168,my-windows-pc,2026-05-09 17:25:58.733422+05:30,28.8,78.2,0.0289,0.3786,0.133,0.2038
169,my-windows-pc,2026-05-09 17:26:28.851911+05:30,29.7,78.1,0.0434,0.3571,0.0358,0.0515
170,my-windows-pc,2026-05-09 17:26:58.970253+05:30,29.9,73.8,0.0959,0.3793,0.134,0.4046
171,my-windows-pc,2026-05-09 17:27:29.094131+05:30,32.8,74.4,0.2227,0.4265,0.6749,0.2181
172,my-windows-pc,2026-05-09 17:27:59.272004+05:30,27,75.6,0.0152,0.7126,0.1542,0.2018
